Filename,Label,Contrast0,Homogeneity0,Dissimilarity0,Entropy0,ASM0,Energy0,Correlation0,Contrast45,Homogeneity45,Dissimilarity45,Entropy45,ASM45,Energy45,Correlation45,Contrast90,Homogeneity90,Dissimilarity90,Entropy90,ASM90,Energy90,Correlation90,Contrast135,Homogeneity135,Dissimilarity135,Entropy135,ASM135,Energy135,Correlation135
27.jpg,kidneyStone,148.29934411693222,0.6695485468846121,4.200051981409174,5.692530876367493,0.37739885763007774,0.6143279723649883,0.9687045165944926,367.32017723583266,0.6528434642839464,6.356041835011408,5.889311551644998,0.3731623292670943,0.6108701410832701,0.9225734573684781,311.6259326076336,0.659577473232897,5.538397443737981,5.802697000294905,0.37474534992585784,0.6121644794708836,0.9342291155056408,410.11429950099085,0.6506624566934981,6.682664358669032,5.912671318729702,0.3727026068938996,0.610493740257752,0.9135529865713738
28.jpg,kidneyStone,126.96183570817071,0.630596654871712,4.415663986056933,6.132130843070315,0.3255654627270868,0.570583440635186,0.977590221905574,336.5172314750587,0.6119822479921455,6.469828163954653,6.330582103908927,0.31748162828143484,0.5634550809793402,0.940677425373067,274.3320732937924,0.6264013312391599,5.318542838796642,6.183444730271903,0.32382199924968336,0.5690535996280872,0.951590760399575,356.60136105482985,0.6093553064818573,6.685842961692115,6.352972818623077,0.3159113821440773,0.5620599453297462,0.9371369164053989
29.jpg,kidneyStone,127.4233694655093,0.6292365226262049,4.425861515411078,6.141342590675907,0.3250105300143396,0.570096947908283,0.9774724788425452,338.418855626312,0.6107164371588273,6.493449397022899,6.339361551075656,0.31721168462432026,0.5632154868470152,0.940245961514315,275.6094705540659,0.6258157274321173,5.31668526785732,6.189312400612025,0.3238504099650798,0.5690785622083121,0.9512866518363724,357.4569950329477,0.6092886589284654,6.676996488218152,6.361955015912014,0.31546080395257,0.5616589747814682,0.9368844298032759
3.jpg,kidneyStone,145.33621269569812,0.7471114406404556,3.528490398728203,4.4063164261295364,0.4967573999195033,0.7048101871564452,0.9622718870226422,426.73822480764863,0.7314178598071828,5.750215417373632,4.588064297767359,0.48687758648613455,0.6977661402548382,0.8893980062225727,370.2459408635029,0.7399339882000577,5.0026449363994505,4.498894937885262,0.4920169761763662,0.7014392177347701,0.9038871288358189,439.77484001669,0.7321962471926741,5.774449393193308,4.581996773669545,0.48768759922986343,0.6983463318654028,0.8860191768831612
30.jpg,kidneyStone,128.266798403866,0.6288873003429895,4.445056415117564,6.156255668703083,0.32485522101410075,0.5699607188342901,0.9772943895101207,341.4016605328524,0.6101289525238612,6.5403280471506,6.3573869888431105,0.3171568222693833,0.5631667801543192,0.9396422129882713,276.6310313723157,0.6255129311666932,5.336686643835759,6.205299076282201,0.32375997768417347,0.5689991016549794,0.9510437959764925,358.3021779175117,0.6086844190072044,6.6889258236602815,6.376154258698477,0.31544032467763367,0.5616407434273565,0.936654301836637
31.jpg,kidneyStone,128.74989297945388,0.628888411147064,4.455410653131264,6.166396226590603,0.3247909358759084,0.5699043216855865,0.9771909065862185,344.4449891046597,0.6103704941632918,6.567338513562731,6.370044844018318,0.3169640001639123,0.5629955596307241,0.9390560841016973,278.36616316047673,0.6249097303865948,5.365895609100011,6.218375992509089,0.32334933608066785,0.5686381415985634,0.9506980055722567,358.7270039560143,0.6087035445216538,6.699200753673624,6.383314249402343,0.31574926194193637,0.5619157071500461,0.9365291148047328
32.jpg,kidneyStone,128.61683203889487,0.6281967755073117,4.453189976761384,6.16832278079477,0.3246410270065882,0.5697727854211608,0.9771455509216108,344.78411541008796,0.6087564130346259,6.59891391347308,6.3783802152599325,0.3165460219994227,0.5626242280593884,0.9388114181154168,278.181636802843,0.6241041672633363,5.376337756849473,6.225258496497351,0.32299679529922287,0.5683280701313485,0.9505816514125941,357.2731071035951,0.6083513672221424,6.68112101286382,6.382910781521938,0.3159087902963893,0.5620576396566364,0.9365950059991439
33.jpg,kidneyStone,129.099976302593,0.6282425945531929,4.449008531066701,6.18121312044047,0.3238570564418835,0.5690844018613439,0.9769817107009587,346.66320977630323,0.6078821353017722,6.632932625104866,6.394949873789362,0.3156776908349707,0.561852018626765,0.9382687006057369,278.5745207008385,0.6225476727236309,5.392027733610708,6.240641294475582,0.32202229345391914,0.5674700815496083,0.9503434986772987,356.5282991410021,0.6084351594751356,6.661547711597362,6.395482964123882,0.3151063156945857,0.5613433135743097,0.9365119962080626
34.jpg,kidneyStone,129.8098053754898,0.6277848629533066,4.4672784674659205,6.188852815359157,0.323553790339389,0.5688178885543149,0.9767750668092305,349.0829194128333,0.6082759298711927,6.66482971495975,6.402653973402819,0.3156290478775622,0.5618087289083022,0.9376226391894731,279.99981653620864,0.6225969780156322,5.418435053816237,6.248624704981923,0.32183512059732144,0.5673051388779423,0.9499164758152259,357.653582055823,0.60821004296084,6.679711704535494,6.401656839339092,0.31503626000519924,0.5612809100666076,0.9360911540140613
35.jpg,kidneyStone,131.1029117233372,0.6276660730189964,4.486779140166451,6.200105583867888,0.3231015397473443,0.5684202140558904,0.9764742738387113,352.1437915755471,0.607308343175994,6.706703022736598,6.4173129723365205,0.3149765674606781,0.5612277322626512,0.9368892078606307,281.66988747554495,0.6216485907154653,5.456442636986424,6.262819801062763,0.3212289132656224,0.5667706002128395,0.9494685995280283,359.4778474347074,0.6073986437826997,6.7191876562973345,6.414679953793044,0.3145732669244713,0.56086831513687,0.9355748070790697
36.jpg,kidneyStone,133.1507307974568,0.626636592962964,4.5097082925637215,6.211068855956389,0.32248360908884544,0.5678764030040739,0.9760091503643014,354.788691832515,0.6062962604837555,6.741165972863154,6.430132086600634,0.3143187322310134,0.5606413579384002,0.9361550416010187,282.85008714531097,0.6215556161515239,5.479092771526587,6.27584218814819,0.3206985816476105,0.5663025531000284,0.9490496435033531,362.3812485399448,0.6072389184050999,6.738998395379978,6.424637997652425,0.3142916179855822,0.5606171759637607,0.9347887453286681
